current_tariff,arpu_segment,target_tariff,history_n,lift_median,lift_mean_clipped,lift_std,audience_n,audience_arpu_sum,history_share,lift_se,reliable
tariff_1,HIGH,tariff_10,9,0.080823,0.176657,0.551631,11,82638.481709,0.126761,0.183877,False
tariff_1,HIGH,tariff_11,4,0.185588,0.023996,0.35177,11,82638.481709,0.056338,0.175885,False
tariff_1,HIGH,tariff_12,2,0.409989,0.409989,0.084774,11,82638.481709,0.028169,0.059944,False
tariff_1,HIGH,tariff_13,14,-0.378912,-0.354731,0.295106,11,82638.481709,0.197183,0.07887,False
tariff_1,HIGH,tariff_4,10,-0.079727,-0.031744,0.642271,11,82638.481709,0.140845,0.203104,False
tariff_1,HIGH,tariff_8,32,-0.186301,-0.237178,0.463798,11,82638.481709,0.450704,0.081989,True
tariff_1,LOW,tariff_10,14,3.879902,2.044637,1.555576,40,132219.590895,0.059574,0.415745,False
tariff_1,LOW,tariff_11,2,7.382189,1.266197,2.451968,40,132219.590895,0.008511,1.733803,False
tariff_1,LOW,tariff_13,22,2.377116,2.121335,1.030026,40,132219.590895,0.093617,0.219602,False
tariff_1,LOW,tariff_21,10,-0.219668,0.419377,1.655828,40,132219.590895,0.042553,0.523619,False
tariff_1,LOW,tariff_4,35,5.454132,1.98429,1.580001,40,132219.590895,0.148936,0.267069,True
tariff_1,LOW,tariff_8,71,4.250582,1.548777,1.693503,40,132219.590895,0.302128,0.200982,True
tariff_1,LOW,tariff_9,81,4.699692,1.998245,1.476879,40,132219.590895,0.344681,0.164098,True
tariff_1,MID,tariff_10,26,0.837052,0.884475,1.220094,32,165169.065447,0.08254,0.23928,False
tariff_1,MID,tariff_11,12,0.909286,1.193371,1.525683,32,165169.065447,0.038095,0.440427,False
tariff_1,MID,tariff_12,2,2.165097,1.814721,1.676237,32,165169.065447,0.006349,1.185279,False
tariff_1,MID,tariff_13,67,0.126203,0.327585,0.762841,32,165169.065447,0.212698,0.093196,True
tariff_1,MID,tariff_21,5,0.715111,0.881871,1.882466,32,165169.065447,0.015873,0.841864,False
tariff_1,MID,tariff_4,51,0.66577,0.997031,1.196045,32,165169.065447,0.161905,0.16748,True
tariff_1,MID,tariff_8,125,0.517526,0.785127,1.267787,32,165169.065447,0.396825,0.113394,True
tariff_1,MID,tariff_9,27,1.498708,1.329362,1.177031,32,165169.065447,0.085714,0.22652,False
tariff_10,HIGH,tariff_1,17,-0.528825,-0.576015,0.422133,2950,24190636.440913,0.025148,0.102382,False
tariff_10,HIGH,tariff_11,134,-0.039405,-0.057801,0.462742,2950,24190636.440913,0.198225,0.039975,True
tariff_10,HIGH,tariff_12,91,-0.022662,-0.066708,0.455019,2950,24190636.440913,0.134615,0.047699,True
tariff_10,HIGH,tariff_13,33,-0.398926,-0.348804,0.354752,2950,24190636.440913,0.048817,0.061754,True
