scenario,policy,attempts,scored,median_net,q10_net,min_net,valid_positive,positive_discovery,positive_deployment,positive_observation,valid_positive_rate_all_attempts,mean_pilot_cost,mean_pilot_contacts,mean_total_cost,mean_total_contacts,mean_n_pilots,mean_agent_seconds,mean_wall_seconds,mean_dropped_campaigns,mean_capped_campaigns,ok,error,invalid_plan,timeout
mixed_1,adaptive,10,10,905425.6210715272,749595.7764302144,120005.88957405048,10,10,10,10,1.0,7312.0,1828.0,29152.0,2668.0,16.9,0.2512910699821077,1.1966452300315722,0.0,0.0,10,0,0,0
mixed_1,fixed,10,10,905860.5904949124,222560.0879993341,222143.28499549648,10,10,10,10,1.0,7680.0,1920.0,19056.0,2440.0,18.0,0.2776250700117089,1.2774702099850401,0.0,0.0,10,0,0,0
mixed_2,adaptive,10,10,329933.3513881549,237519.41322893873,225549.86004858214,10,10,10,10,1.0,8720.0,2180.0,22160.0,3148.0,17.7,0.26871176999993623,1.2417344199959188,0.0,0.0,10,0,0,0
mixed_2,fixed,10,10,-79128.48411565181,-112293.52616444186,-124157.67227103826,2,10,10,10,0.2,9280.0,2320.0,16720.0,2985.3,17.0,0.25976900997338814,1.2200640699942595,0.0,0.0,10,0,0,0
mock,adaptive,10,10,1330064.3114166334,1048694.992446782,685689.4335558818,10,10,10,10,1.0,13840.0,3460.0,70494.4,6409.2,19.4,0.5699827599921263,1.7627608600072562,0.0,0.0,10,0,0,0
mock,fixed,10,10,1270155.1376668485,1052801.9826199806,1027410.5614621167,10,10,10,10,1.0,14000.0,3500.0,76817.4,6782.0,20.0,0.5705216200090945,1.7473216100013815,0.0,0.0,10,0,0,0
negative_1,adaptive,10,10,-1026424.2819707769,-1149556.3842295937,-1155770.9926044005,0,10,10,10,0.0,9128.0,2282.0,9128.0,2412.0,16.6,0.25154621998080984,1.1922468000091613,0.0,0.0,10,0,0,0
negative_1,fixed,10,10,-1152204.4773345897,-1157247.7036818913,-1172366.3738686768,0,10,9,8,0.0,12640.0,3160.0,12800.0,3218.0,20.0,0.25919512000400574,1.2554819600190967,0.0,0.0,10,0,0,0
negative_2,adaptive,10,10,-459244.432576256,-517635.76926521916,-534272.4810657783,0,4,2,2,0.0,10152.0,2538.0,10152.0,2560.0,18.0,0.2533643500180915,1.1940823699813337,0.0,0.0,10,0,0,0
negative_2,fixed,10,10,-493317.5527141136,-503476.6529140487,-577655.0251957758,0,0,0,0,0.0,12240.0,3060.0,12240.0,3122.0,19.0,0.25869938001269477,1.2166249100118876,0.0,0.0,10,0,0,0
rare_1,adaptive,10,10,-284798.2674307357,-294273.9534693848,-294311.4519803479,0,0,0,0,0.0,7069.6,1767.4,7069.6,1813.4,18.6,0.2608795400126837,1.220855560002383,0.0,0.0,10,0,0,0
rare_1,fixed,10,10,-234786.02339882258,-235968.5376531875,-236725.39910074597,0,0,0,0,0.0,6400.0,1600.0,6400.0,1624.0,19.0,0.2561378300073557,1.2155365599901415,0.0,0.0,10,0,0,0
rare_2,adaptive,10,10,-266968.8093821665,-294338.021688433,-300088.3367320113,0,0,0,0,0.0,10368.0,2592.0,10368.0,2750.6,18.7,0.24934324000496416,1.191593360027764,0.0,0.0,10,0,0,0
rare_2,fixed,10,10,-268844.76531820634,-271008.2221546658,-271810.4090810567,0,0,0,0,0.0,12640.0,3160.0,12800.0,3308.5,20.0,0.25269859000109135,1.2121614299947396,0.0,0.0,10,0,0,0
