scenario,seed,comparable,adaptive_net,fixed_net,adaptive_minus_fixed,same_model
mock,50,True,1288690.2555595175,1181290.0631847424,107400.19237477519,True
mock,51,True,1684893.1844205202,1639626.0687000356,45267.11572048464,True
mock,52,True,1427889.9315842541,1172336.9652332817,255552.96635097242,True
mock,53,True,1386684.223297663,1670928.6896438785,-284244.46634621546,True
mock,54,True,685689.4335558818,1055623.251637521,-369933.8180816391,True
mock,55,True,1094549.9395512843,1027410.5614621167,67139.37808916764,True
mock,56,True,1509351.9417376663,1595941.4172573509,-86589.47551968461,True
mock,57,True,1371438.3672737496,1359020.2121489549,12418.155124794692,True
mock,58,True,1089028.9434346599,1525072.40895153,-436043.46551687014,True
mock,59,True,1106058.4381611745,1145103.622566421,-39045.18440524652,True
mixed_1,50,True,903047.131089233,598880.9975943993,304166.1334948337,True
mixed_1,51,True,963662.8403941913,222143.28499549648,741519.5553986948,True
mixed_1,52,True,998157.9182659257,905885.1577516147,92272.76051431103,True
mixed_1,53,True,869479.9068062672,222735.84081258037,646744.0659936869,True
mixed_1,54,True,819550.2083031215,906864.580405284,-87314.37210216245,True
mixed_1,55,True,120005.88957405048,222606.39944420493,-102600.50987015445,True
mixed_1,56,True,1155190.5983724133,906336.8546314177,248853.74374099565,True
mixed_1,57,True,907804.1110538215,907303.2552969339,500.855756887584,True
mixed_1,58,True,864418.124496054,905836.02323821,-41417.89874215599,True
mixed_1,59,True,1161638.937705349,1205197.0051787738,-43558.06747342483,True
negative_1,50,True,-1014845.0375128768,-1140778.0566956445,125933.01918276772,True
negative_1,51,True,-1155770.9926044005,-1151790.37718953,-3980.6154148704372,True
negative_1,52,True,-1024145.4525730815,-1152618.5774796493,128473.12490656786,True
negative_1,53,True,-1028731.7735859278,-1172366.3738686768,143634.60028274904,True
negative_1,54,True,-1018641.7703213389,-1154189.1064309548,135547.33610961586,True
negative_1,55,True,-995990.1924068781,-1148173.2203306209,152183.02792374277,True
negative_1,56,True,-1148865.8721879486,-1154540.9333622004,5675.061174251838,True
negative_1,57,True,-1028703.1113684721,-1148013.3127518976,119310.2013834255,True
negative_1,58,True,-1095268.9603794282,-1147586.5760735653,52317.61569413706,True
negative_1,59,True,-1019982.6451771944,-1155567.8514389151,135585.20626172074,True
rare_1,50,True,-294311.4519803479,-233507.82547164496,-60803.62650870296,True
rare_1,51,True,-284019.66028717346,-236725.39910074597,-47294.261186427495,True
rare_1,52,True,-238641.88312119362,-235769.42624474136,-2872.4568764522555,True
rare_1,53,True,-282657.82003303117,-233063.14605231714,-49594.673980714026,True
rare_1,54,True,-287142.88159542973,-235884.4419367921,-51258.439658637624,True
rare_1,55,True,-294269.7869681667,-234504.29190904796,-59765.49505911875,True
rare_1,56,True,-285576.8745742979,-233849.4099638491,-51727.464610448835,True
rare_1,57,True,-293546.6344253426,-234439.8668872717,-59106.76753807091,True
rare_1,58,True,-281555.10150056006,-235067.75488859724,-46487.34661196283,True
rare_1,59,True,-238722.1368411699,-235783.51177530532,-2938.6250658645877,True
mixed_2,50,True,327300.2846636477,-83243.05202744063,410543.33669108833,True
mixed_2,51,True,225549.86004858214,-70802.28378799427,296352.1438365764,True
mixed_2,52,True,332566.4181126621,-110975.28770815338,443541.70582081546,True
mixed_2,53,True,574279.1381732526,-45618.87942557781,619898.0175988304,True
mixed_2,54,True,415653.73373574216,268438.7211107272,147215.012625015,True
mixed_2,55,True,349520.0142619908,-124157.67227103826,473677.6865330291,True
mixed_2,56,True,538641.5427287151,297152.1005035521,241489.442225163,True
mixed_2,57,True,323026.8847293057,-75013.91620386299,398040.8009331687,True
mixed_2,58,True,297008.3840242137,-98962.3428269465,395970.7268511602,True
mixed_2,59,True,238849.3635823117,-97611.94694417316,336461.31052648486,True
negative_2,50,True,-394968.69577632705,-493612.70649324637,98644.01071691932,True
negative_2,51,True,-441564.5929328313,-494217.77017470007,52653.17724186875,True
negative_2,52,True,-534272.4810657783,-492932.1024133932,-41340.37865238509,True
negative_2,53,True,-452143.3892912816,-491061.043395608,38917.654104326444,True
negative_2,54,True,-508864.21911069524,-577655.0251957758,68790.80608508055,True
negative_2,55,True,-515787.2457318237,-495234.61154941237,-20552.634182411362,True
negative_2,56,True,-465088.44062752894,-494869.8687015467,29781.42807401775,True
negative_2,57,True,-456444.57859027304,-493022.3989349808,36577.820344707754,True
negative_2,58,True,-395425.25315347,-491592.6027336047,96167.34958013473,True
negative_2,59,True,-462044.28656223894,-489895.8302926558,27851.54373041686,True
rare_2,50,True,-260468.3767334723,-270919.0902739557,10450.713540483412,True
rare_2,51,True,-258641.826648887,-261296.78373927652,2654.9570903895074,True
rare_2,52,True,-293699.0977947021,-268528.02341736364,-25171.07437733846,True
rare_2,53,True,-300088.3367320113,-271810.4090810567,-28277.927650954574,True
rare_2,54,True,-290176.3914183435,-268861.5886729941,-21314.802745349414,True
rare_2,55,True,-264303.1782781861,-266210.8257581315,1907.6474799453863,True
rare_2,56,True,-283290.5583683136,-266613.0301815698,-16677.528186743788,True
rare_2,57,True,-264628.78780623735,-268827.94196341856,4199.154157181212,True
rare_2,58,True,-249621.14151230693,-268982.0416444422,19360.900132135255,True
rare_2,59,True,-269308.8309580956,-269148.6739217245,-160.15703637112165,True
